arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/tests/test_pipeline.py,funcao,test_pipeline_with_estimate_effect,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
causalpy/tests/test_placebo_in_time.py,funcao,_make_its_data,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,_make_pymc_model,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,_make_ols_model,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,_make_pymc_factory,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_default_n_folds,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_custom_n_folds,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_invalid_n_folds,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_default_sample_kwargs,1,6,3,6,7,9,15.5098,25.2662,0.5,12.6331,0.7018,0.0084
causalpy/tests/test_placebo_in_time.py,funcao,test_custom_sample_kwargs,1,6,3,6,7,9,15.5098,25.2662,0.5,12.6331,0.7018,0.0084
causalpy/tests/test_placebo_in_time.py,funcao,test_default_threshold_and_prior_scale,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
causalpy/tests/test_placebo_in_time.py,funcao,test_custom_threshold,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_custom_prior_scale,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_expected_effect_prior_without_rope_raises,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_expected_effect_prior_with_rope_ok,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_satisfies_check_protocol,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_applicable_methods,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
causalpy/tests/test_placebo_in_time.py,funcao,test_repr_basic,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_repr_with_assurance,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_validate_accepts_pymc_its,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_validate_rejects_ols_model,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_validate_rejects_no_treatment_time,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_placebo_in_time.py,funcao,test_rope_decision_positive,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_rope_decision_null,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_rope_decision_indeterminate,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_rope_decision_with_mixed_samples,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_rope_decision_barely_below_threshold,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_placebo_in_time.py,funcao,test_assurance_formula_zero_expected_matches_null,2,7,4,8,9,12,21.6515,38.0391,1.1429,43.4733,2.4152,0.0127
causalpy/tests/test_placebo_in_time.py,funcao,test_assurance_formula_large_expected_effect_dominates_baseline,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
causalpy/tests/test_placebo_in_time.py,funcao,test_extract_cumulative_impact,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
causalpy/tests/test_placebo_in_time.py,funcao,test_run_produces_check_result,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
